Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_0402_1005Metric,149.0,-75.48,90.0,bottom
C2,100n,C_0402_1005Metric,148.0,-75.47,90.0,bottom
C3,1n,C_0402_1005Metric,150.9,-75.48,90.0,bottom
C4,100n,C_0402_1005Metric,152.0,-75.48,90.0,bottom
C5,0.1u,C_0402_1005Metric,136.93,-56.7,180.0,top
C6,0.1u,C_0402_1005Metric,143.6,-54.23,-90.0,top
C7,0.1u,C_0402_1005Metric,142.6,-54.23,-90.0,top
C8,4.7u,C_0402_1005Metric,139.22,-59.0,0.0,top
C9,100n,C_0402_1005Metric,145.08,-54.1,180.0,top
C10,100n,C_0402_1005Metric,140.92,-66.0,0.0,top
C11,100n,C_0402_1005Metric,144.82,-67.5,0.0,top
C12,100n,C_0402_1005Metric,139.27,-61.65,0.0,top
C13,100n,C_0402_1005Metric,139.22,-58.0,0.0,top
C14,100n,C_0402_1005Metric,149.52,-56.15,180.0,top
C15,100n,C_0402_1005Metric,125.47,-61.8,0.0,top
C16,100n,C_0402_1005Metric,141.6,-54.22,-90.0,top
C17,100n,C_0402_1005Metric,149.53,-57.15,180.0,top
C18,100n,C_0402_1005Metric,144.82,-66.5,0.0,top
C19,18p,C_0402_1005Metric,156.93,-53.6475,90.0,top
C20,18p,C_0402_1005Metric,156.93,-57.9975,-90.0,top
C21,4.7u,C_0402_1005Metric,139.2,-56.7,0.0,top
C22,100n,C_0402_1005Metric,159.8,-64.6,90.0,top
C23,2u,C_0805_2012Metric,119.0,-76.22,180.0,top
C24,47u,C_1206_3216Metric,123.375,-76.42,0.0,top
C25,2u,C_0805_2012Metric,162.25,-65.19,90.0,top
C26,47u,C_1206_3216Metric,164.55,-65.815,90.0,top
C27,1u,C_0805_2012Metric,158.95,-80.2,180.0,top
C28,1u,C_0805_2012Metric,162.45,-80.2,0.0,top
C29,1u,C_0805_2012Metric,165.3,-80.05,90.0,top
C30,10u,C_0805_2012Metric,169.85,-69.05,180.0,top
C31,1n,C_0402_1005Metric,139.0,-75.52,270.0,bottom
C32,100n,C_0402_1005Metric,138.0,-75.48,270.0,bottom
C33,1n,C_0402_1005Metric,148.0,-87.48,270.0,bottom
C34,100n,C_0402_1005Metric,149.0,-87.48,270.0,bottom
C35,1n,C_0402_1005Metric,141.05,-87.5,270.0,bottom
C36,100n,C_0402_1005Metric,140.0,-87.48,270.0,bottom
C37,100n,C_0402_1005Metric,142.49,-81.0,180.0,bottom
C38,100n,C_0402_1005Metric,142.48,-79.0,0.0,bottom
C39,100n,C_0402_1005Metric,142.49,-84.0,0.0,bottom
